Finite Time (ns): ,601,,Fuzzy Time (ns): ,350648
Finite Time (ns): ,301,,Fuzzy Time (ns): ,347042
Finite Time (ns): ,601,,Fuzzy Time (ns): ,319399
Finite Time (ns): ,601,,Fuzzy Time (ns): ,312488
Finite Time (ns): ,601,,Fuzzy Time (ns): ,416750
Finite Time (ns): ,601,,Fuzzy Time (ns): ,314591
Finite Time (ns): ,601,,Fuzzy Time (ns): ,353351
Finite Time (ns): ,601,,Fuzzy Time (ns): ,359061
Finite Time (ns): ,601,,Fuzzy Time (ns): ,361765
Finite Time (ns): ,601,,Fuzzy Time (ns): ,307380
Finite Time (ns): ,901,,Fuzzy Time (ns): ,333220
Finite Time (ns): ,601,,Fuzzy Time (ns): ,371981
Finite Time (ns): ,1502,,Fuzzy Time (ns): ,963604
Finite Time (ns): ,901,,Fuzzy Time (ns): ,463925
Finite Time (ns): ,901,,Fuzzy Time (ns): ,292657
Finite Time (ns): ,901,,Fuzzy Time (ns): ,372882
Finite Time (ns): ,1502,,Fuzzy Time (ns): ,437784
Finite Time (ns): ,902,,Fuzzy Time (ns): ,332619
Finite Time (ns): ,1202,,Fuzzy Time (ns): ,385201
Finite Time (ns): ,601,,Fuzzy Time (ns): ,350047
Finite Time (ns): ,601,,Fuzzy Time (ns): ,351549
Finite Time (ns): ,300,,Fuzzy Time (ns): ,623774
Finite Time (ns): ,601,,Fuzzy Time (ns): ,733746
Finite Time (ns): ,300,,Fuzzy Time (ns): ,627079
Finite Time (ns): ,300,,Fuzzy Time (ns): ,576300
Finite Time (ns): ,601,,Fuzzy Time (ns): ,620469
Finite Time (ns): ,601,,Fuzzy Time (ns): ,687474
Finite Time (ns): ,14122,,Fuzzy Time (ns): ,836807
Finite Time (ns): ,601,,Fuzzy Time (ns): ,776412
Finite Time (ns): ,601,,Fuzzy Time (ns): ,518009
Finite Time (ns): ,301,,Fuzzy Time (ns): ,439887
Finite Time (ns): ,300,,Fuzzy Time (ns): ,420958
Finite Time (ns): ,601,,Fuzzy Time (ns): ,442290
Finite Time (ns): ,300,,Fuzzy Time (ns): ,376789
Finite Time (ns): ,601,,Fuzzy Time (ns): ,564582
